3AA.17 1490.87,1203.04;1492.25,1197.1;1488.82,1196.31;1487.44,1202.25
3AA.19 1492.33,1196.75;1493.71,1190.81;1490.28,1190.02;1488.9,1195.96
3AA.21 1493.79,1190.46;1495.17,1184.52;1491.74,1183.73;1490.36,1189.67
3AA.23 1495.25,1184.17;1496.62,1178.23;1493.2,1177.44;1491.82,1183.38
3AA.25 1496.7,1177.88;1498.08,1171.94;1494.66,1171.14;1493.28,1177.09
3AA.27 1498.16,1171.59;1499.54,1165.65;1496.12,1164.85;1494.74,1170.8
3AA.29 1499.62,1165.3;1501.0,1159.36;1497.58,1158.56;1496.2,1164.5
3AA.31 1501.08,1159.01;1502.46,1153.07;1499.04,1152.27;1497.66,1158.21
3AA.33 1502.54,1152.72;1503.92,1146.77;1500.5,1145.98;1499.12,1151.92
3AA.35 1504.0,1146.43;1505.38,1140.48;1501.95,1139.69;1500.57,1145.63
3AA.37 1505.45,1140.13;1506.83,1134.19;1503.41,1133.4;1502.03,1139.34
3AA.39 1506.91,1133.84;1508.29,1127.9;1504.86,1127.1;1503.49,1133.05
3AA.41 1508.37,1127.55;1509.75,1121.61;1506.32,1120.81;1504.94,1126.76
3AA.43 1509.83,1121.26;1511.21,1115.32;1507.78,1114.52;1506.4,1120.46
3AA.45 1511.29,1114.97;1512.67,1109.03;1509.24,1108.23;1507.86,1114.17
3AA.47 1512.75,1108.68;1514.13,1102.74;1510.7,1101.94;1509.32,1107.88
3AA.49 1514.21,1102.39;1515.59,1096.45;1512.16,1095.65;1510.78,1101.59
3AA.51 1515.67,1096.1;1517.05,1090.15;1513.62,1089.36;1512.24,1095.3
3AA.53 1517.13,1089.81;1518.51,1083.86;1515.08,1083.07;1513.7,1089.01
3AA.55 1518.59,1083.51;1519.97,1077.57;1516.54,1076.78;1515.16,1082.72
3AA.57 1520.05,1077.22;1521.43,1071.28;1518.0,1070.49;1516.62,1076.43
3AA.59 1521.51,1070.93;1522.89,1064.99;1519.46,1064.2;1518.08,1070.14
3AA.61 1522.97,1064.64;1524.35,1058.7;1520.92,1057.91;1519.54,1063.85
3AA.63 1524.43,1058.35;1525.81,1052.41;1522.38,1051.62;1521.0,1057.56
3AA.65 1525.89,1052.06;1527.27,1046.12;1523.84,1045.32;1522.46,1051.27
3AA.67 1527.35,1045.77;1528.73,1039.83;1525.3,1039.03;1523.92,1044.98
3AA.69 1528.81,1039.48;1530.19,1033.54;1526.76,1032.74;1525.38,1038.68
3AA.71 1530.27,1033.19;1531.65,1027.25;1528.22,1026.45;1526.84,1032.39
3AA.73 1531.73,1026.9;1533.11,1020.96;1529.68,1020.16;1528.3,1026.1
3AA.75 1533.19,1020.61;1534.57,1014.67;1531.14,1013.87;1529.76,1019.81
3AA.77 1534.65,1014.32;1536.03,1008.37;1532.6,1007.58;1531.23,1013.52
3AA.79 1536.04,1008.34;1537.41,1002.4;1533.99,1001.6;1532.61,1007.55
3AA.81 1537.5,1002.05;1538.88,996.11;1535.45,995.31;1534.07,1001.26
3AA.83 1538.88,996.07;1540.26,990.13;1536.84,989.34;1535.46,995.28
3AA.85 1540.34,989.78;1541.71,983.84;1538.3,983.05;1536.92,988.99
3AA.87 1541.72,983.81;1543.1,977.86;1539.68,977.07;1538.3,983.01
3BA.01 1401.83,1586.35;1403.21,1580.41;1399.84,1579.63;1398.46,1585.57
3BA.03 1403.56,1578.89;1404.94,1572.95;1401.57,1572.17;1400.19,1578.11
3BA.05 1405.02,1572.6;1406.4,1566.66;1403.03,1565.88;1401.65,1571.82
3BA.07 1406.41,1566.63;1407.79,1560.69;1404.41,1559.9;1403.03,1565.84
3BA.09 1407.87,1560.34;1409.25,1554.39;1405.87,1553.61;1404.49,1559.55
3BA.11 1409.26,1554.36;1410.64,1548.42;1407.26,1547.64;1405.88,1553.58
3BA.13 1410.72,1548.07;1412.1,1542.13;1408.72,1541.34;1407.34,1547.29
3BA.15 1412.18,1541.78;1413.56,1535.84;1410.18,1535.05;1408.8,1541.0
3BA.17 1413.64,1535.49;1415.02,1529.55;1411.64,1528.76;1410.26,1534.71
3BA.19 1415.1,1529.2;1416.48,1523.26;1413.1,1522.47;1411.72,1528.41
3BA.21 1416.56,1522.91;1417.94,1516.97;1414.56,1516.18;1413.18,1522.12
3BA.23 1418.02,1516.62;1419.4,1510.68;1416.02,1509.89;1414.64,1515.83
3BA.25 1419.48,1510.33;1420.86,1504.38;1417.48,1503.6;1416.1,1509.54
3BA.27 1420.94,1504.04;1422.32,1498.09;1418.94,1497.31;1417.56,1503.25
3BA.29 1422.4,1497.75;1423.78,1491.8;1420.4,1491.02;1419.03,1496.96
3BA.31 1423.86,1491.45;1425.24,1485.51;1421.86,1484.73;1420.49,1490.67
3BA.33 1425.32,1485.16;1426.7,1479.22;1423.33,1478.44;1421.95,1484.38
3BA.35 1426.78,1478.87;1428.16,1472.93;1424.79,1472.15;1423.41,1478.09
3BA.37 1428.24,1472.58;1429.62,1466.64;1426.25,1465.86;1424.87,1471.8
3BA.39 1429.7,1466.29;1431.08,1460.35;1427.71,1459.57;1426.33,1465.51
3BA.41 1431.16,1460.0;1432.54,1454.06;1429.17,1453.27;1427.79,1459.22
